perm_id,setting_id,flags_json,primary_label,flags
1764.0,focus_0000,"{""BRE"": false, ""FM/EM"": true, ""APD"": true, ""DCO"": false, ""GD"": false, ""Other"": false}",FM/EM,APD;FM/EM
1764.0,focus_0001,"{""BRE"": false, ""FM/EM"": true, ""APD"": false, ""DCO"": false, ""GD"": false, ""Other"": false}",FM/EM,FM/EM
1764.0,focus_0002,"{""BRE"": false, ""FM/EM"": true, ""APD"": false, ""DCO"": false, ""GD"": false, ""Other"": false}",FM/EM,FM/EM
1764.0,focus_0003,"{""BRE"": false, ""FM/EM"": true, ""APD"": false, ""DCO"": false, ""GD"": false, ""Other"": false}",FM/EM,FM/EM
1764.0,focus_0004,"{""BRE"": false, ""FM/EM"": true, ""APD"": false, ""DCO"": false, ""GD"": false, ""Other"": false}",FM/EM,FM/EM
1764.0,focus_0005,"{""BRE"": false, ""FM/EM"": true, ""APD"": false, ""DCO"": false, ""GD"": false, ""Other"": false}",FM/EM,FM/EM
1764.0,focus_0006,"{""BRE"": false, ""FM/EM"": true, ""APD"": false, ""DCO"": false, ""GD"": false, ""Other"": false}",FM/EM,FM/EM
1764.0,focus_0007,"{""BRE"": false, ""FM/EM"": true, ""APD"": true, ""DCO"": false, ""GD"": false, ""Other"": false}",FM/EM,APD;FM/EM
1764.0,focus_0008,"{""BRE"": false, ""FM/EM"": true, ""APD"": false, ""DCO"": false, ""GD"": false, ""Other"": false}",FM/EM,FM/EM
1764.0,focus_0009,"{""BRE"": false, ""FM/EM"": true, ""APD"": false, ""DCO"": false, ""GD"": false, ""Other"": false}",FM/EM,FM/EM
1764.0,focus_0010,"{""BRE"": false, ""FM/EM"": true, ""APD"": false, ""DCO"": false, ""GD"": false, ""Other"": false}",FM/EM,FM/EM
1764.0,focus_0011,"{""BRE"": false, ""FM/EM"": true, ""APD"": false, ""DCO"": false, ""GD"": false, ""Other"": false}",FM/EM,FM/EM
1764.0,focus_0012,"{""BRE"": false, ""FM/EM"": true, ""APD"": false, ""DCO"": false, ""GD"": false, ""Other"": false}",FM/EM,FM/EM
1764.0,focus_0013,"{""BRE"": false, ""FM/EM"": true, ""APD"": false, ""DCO"": false, ""GD"": false, ""Other"": false}",FM/EM,FM/EM
1764.0,focus_0014,"{""BRE"": false, ""FM/EM"": true, ""APD"": true, ""DCO"": false, ""GD"": false, ""Other"": false}",FM/EM,APD;FM/EM
1764.0,focus_0015,"{""BRE"": false, ""FM/EM"": true, ""APD"": false, ""DCO"": false, ""GD"": false, ""Other"": false}",FM/EM,FM/EM
1764.0,focus_0016,"{""BRE"": false, ""FM/EM"": true, ""APD"": false, ""DCO"": false, ""GD"": false, ""Other"": false}",FM/EM,FM/EM
1764.0,focus_0017,"{""BRE"": false, ""FM/EM"": true, ""APD"": false, ""DCO"": false, ""GD"": false, ""Other"": false}",FM/EM,FM/EM
1764.0,focus_0018,"{""BRE"": false, ""FM/EM"": true, ""APD"": false, ""DCO"": false, ""GD"": false, ""Other"": false}",FM/EM,FM/EM
1764.0,focus_0019,"{""BRE"": false, ""FM/EM"": true, ""APD"": false, ""DCO"": false, ""GD"": false, ""Other"": false}",FM/EM,FM/EM
1764.0,focus_0020,"{""BRE"": false, ""FM/EM"": true, ""APD"": false, ""DCO"": false, ""GD"": false, ""Other"": false}",FM/EM,FM/EM
1764.0,focus_0021,"{""BRE"": false, ""FM/EM"": true, ""APD"": true, ""DCO"": false, ""GD"": false, ""Other"": false}",FM/EM,APD;FM/EM
1764.0,focus_0022,"{""BRE"": false, ""FM/EM"": true, ""APD"": false, ""DCO"": false, ""GD"": false, ""Other"": false}",FM/EM,FM/EM
1764.0,focus_0023,"{""BRE"": false, ""FM/EM"": true, ""APD"": false, ""DCO"": false, ""GD"": false, ""Other"": false}",FM/EM,FM/EM
1764.0,focus_0024,"{""BRE"": false, ""FM/EM"": true, ""APD"": false, ""DCO"": false, ""GD"": false, ""Other"": false}",FM/EM,FM/EM
1764.0,focus_0025,"{""BRE"": false, ""FM/EM"": true, ""APD"": false, ""DCO"": false, ""GD"": false, ""Other"": false}",FM/EM,FM/EM
1764.0,focus_0026,"{""BRE"": false, ""FM/EM"": true, ""APD"": false, ""DCO"": false, ""GD"": false, ""Other"": false}",FM/EM,FM/EM
1764.0,focus_0027,"{""BRE"": false, ""FM/EM"": true, ""APD"": false, ""DCO"": false, ""GD"": false, ""Other"": false}",FM/EM,FM/EM
1764.0,focus_0028,"{""BRE"": false, ""FM/EM"": true, ""APD"": true, ""DCO"": false, ""GD"": false, ""Other"": false}",FM/EM,APD;FM/EM
1764.0,focus_0029,"{""BRE"": false, ""FM/EM"": true, ""APD"": false, ""DCO"": false, ""GD"": false, ""Other"": false}",FM/EM,FM/EM
1764.0,focus_0030,"{""BRE"": false, ""FM/EM"": true, ""APD"": false, ""DCO"": false, ""GD"": false, ""Other"": false}",FM/EM,FM/EM
1764.0,focus_0031,"{""BRE"": false, ""FM/EM"": true, ""APD"": false, ""DCO"": false, ""GD"": false, ""Other"": false}",FM/EM,FM/EM
1764.0,focus_0032,"{""BRE"": false, ""FM/EM"": true, ""APD"": false, ""DCO"": false, ""GD"": false, ""Other"": false}",FM/EM,FM/EM
